Janela,Entropia
1,2.37
2,2.31
3,2.31
4,2.33
5,2.31
6,2.35
7,2.28
8,2.31
9,2.35
10,2.3
11,2.57
12,2.58
13,2.34
14,2.51
15,2.63
16,2.6
17,2.53
18,2.46
19,2.68
20,2.28
21,2.31
22,2.35
23,2.3
24,2.31
25,2.34
26,2.31
27,2.31
